,e_nom_MWh,e_initial_MWh
tesla_model_3 (1),0.062,0.0186
tesla_model_3 (2),0.062,0.0186
tesla_model_3 (3),0.062,0.0186
tesla_model_3 (4),0.062,0.0186
vw_id3_pro (1),0.058,0.0174
vw_id3_pro (2),0.058,0.0174
vw_id3_pro (3),0.058,0.0174
vw_id3_pro (4),0.058,0.0174
vw_id7 (1),0.077,0.0231
vw_id7 (2),0.077,0.0231
vw_id7 (3),0.077,0.0231
vw_id7 (4),0.077,0.0231
bmw_i4_m50 (1),0.0839,0.02517
bmw_i4_m50 (2),0.0839,0.02517
bmw_i4_m50 (3),0.0839,0.02517
bmw_i4_m50 (4),0.0839,0.02517
benz_eqe_300 (1),0.089,0.0267
benz_eqe_300 (2),0.089,0.0267
benz_eqe_300 (3),0.089,0.0267
benz_eqe_300 (4),0.089,0.0267
